product_id,product_name,category,price,date_added
1,Whispering Willow,Electronics,22.99,2022-01-01
2,Tranquil Tide,Books,18.49,2022-01-02
3,Midnight Mirage,Clothing,31.99,2022-01-03
4,Solar Shift,Electronics,16.99,2022-01-04
5,Sweet Sunshine,Books,29.99,2022-01-05
6,Harvest Haze,Clothing,26.99,2022-01-06
7,Mystic Moon,Electronics,24.99,2022-01-07
8,Roaring Rapids,Books,21.99,2022-01-08
9,Golden Grove,Clothing,34.99,2022-01-09
10,Purple Paradise,Electronics,14.99,2022-01-10
11,Ocean Oasis,Books,25.99,2022-01-11
12,Majestic Mountains,Clothing,27.99,2022-01-12
13,Azure Adventure,Books,22.49,2022-01-13
14,Pink Pizazz,Clothing,19.99,2022-01-14
15,Crimson Canyon,Electronics,19.99,2022-01-15
16,Silver Stream,Books,28.99,2022-01-15
17,Moonlit Meadow,Clothing,32.99,2022-01-15
18,Green Garden,Electronics,15.99,2022-01-15
19,Cozy Cottage,Books,23.49,2022-01-19
20,Blossom Boulevard,Clothing,30.99,2022-01-20
21,Electric Expedition,Electronics,12.99,2022-01-21
22,Wilderness Wonder,Books,27.99,2022-01-22
23,Vibrant Valley,Clothing,25.99,2022-01-23
24,Flamingo Fiesta,Electronics,23.99,2022-01-24
25,Exotic Escape,Books,24.99,2022-01-25
26,Mountain Majesty,Clothing,29.99,2022-01-26
27,Marigold Meadows,Electronics,14.49,2022-01-27
28,Enchanted Eucalyptus,Books,20.99,2022-01-28
29,Cool Canyon,Clothing,26.99,2022-01-29
30,Skyline Serenade,Electronics,19.99,2022-01-30
31,Fantastic Forest,Books,24.99,2022-01-31